month,method,component,contribution,active_exposure
2020-04-30,global_minimum_variance,specific,0.019937507867533247,
2020-04-30,global_minimum_variance,transaction_cost,-1.379078929493752e-05,
2020-04-30,global_minimum_variance,active_net_return,0.03039374166178414,
2020-04-30,shrinkage_mean_variance,factor:MKT_RF,0.008835731645339785,-0.20169952883137132
2020-04-30,shrinkage_mean_variance,factor:SMB,-0.0011022889845370447,0.1525666006937874
2020-04-30,shrinkage_mean_variance,factor:HML,-0.0008002963728824961,-0.14974870140393265
2020-04-30,shrinkage_mean_variance,factor:RMW,0.00015038345510200288,-0.014758801684301541
2020-04-30,shrinkage_mean_variance,factor:CMA,-0.001912304868740195,-0.12510908767955348
2020-04-30,shrinkage_mean_variance,factor:MOM,0.006957381876553575,-0.1635303428815216
2020-04-30,shrinkage_mean_variance,specific,0.011026155408035095,
2020-04-30,shrinkage_mean_variance,transaction_cost,-8.883495093081374e-05,
2020-04-30,shrinkage_mean_variance,active_net_return,0.02306592720793991,
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:MKT_RF,-0.0032372754060311167,0.07389958752745174
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:SMB,-0.0014807038241386474,0.2049425806228158
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:HML,8.285105463736161e-05,0.015502804038964216
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:RMW,0.001200566695141212,-0.11782496784867702
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:CMA,0.0013154000863355268,0.08605767177879933
2020-04-30,maximum_sharpe_with_gmv_fallback,factor:MOM,0.010624324849364035,-0.24972029943565688
2020-04-30,maximum_sharpe_with_gmv_fallback,specific,-0.005002826529784191,
2020-04-30,maximum_sharpe_with_gmv_fallback,transaction_cost,-0.00020049487408258142,
2020-04-30,maximum_sharpe_with_gmv_fallback,active_net_return,0.0033018420514415985,
2020-04-30,historical_joint_cvar,factor:MKT_RF,0.008556991995944561,-0.19533654065944206
2020-04-30,historical_joint_cvar,factor:SMB,-0.0004702015885578924,0.06508008245879883
2020-04-30,historical_joint_cvar,factor:HML,-0.0011201518975774475,-0.20959896573466344
2020-04-30,historical_joint_cvar,factor:RMW,-0.0005286879314337264,0.0518860291354621
2020-04-30,historical_joint_cvar,factor:CMA,-0.002023674573266993,-0.1323952491887632
2020-04-30,historical_joint_cvar,factor:MOM,0.006035701053889277,-0.14186662172435005
2020-04-30,historical_joint_cvar,specific,0.011240427408416659,
2020-04-30,historical_joint_cvar,transaction_cost,-8.712372763244853e-06,
2020-04-30,historical_joint_cvar,active_net_return,0.021681692094651192,
